data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
T3,triiodothyronine,Q327362,0,0,1,thyroid hormone,"3,5,3'-triodo-L-thyronine|Cytomel®|liothyronine sodium|T3|3,3',5-triiodo-L-thyronine|O-(4-hydroxy-3-iodophenyl)-3,5-diiodo-L-tyrosine|Tresitope|3,5,3'-Triiodo-L-thyronine|4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodo-L-phenylalanine|Triiodothyronine|Liothyronine|L-T3|3,5,3'TRIIODOTHYRONINE|L-3,5,3'-Triiodothyronine|Tertroxin|3,5,3'-Triiodothyronine|liothyronine",Q113145171,Q27163652,Triiodothyronine
T3,Terminator 3: Rise of the Machines,Q29054009,0,0,1,2003 film directed by Jonathan Mostow,T3|Terminator 3,Q11424,,Terminator 3: Rise of the Machines
T3,Bankstown Line,Q2407219,0,0,1,"former rail service in Sydney, New South Wales, Australia",T3,Q1067164|Q15141321,,Bankstown Line
T3,SLC25A5,Q17826561,0,0,1,protein-coding gene in the species Homo sapiens,2F1|AAC2|ANT2|T2|T3|solute carrier family 25 member 5,Q7187,Q20747295,ADP/ATP translocase 2
T3,T3,Q56221678,0,0,1,Istanbul Nostalgic Tram line,T3 (Istanbul Tram)|T3 (Kadıköy – Moda) Nostalgic Ring Tram Line|Kadıköy – Moda Nostalgic Ring Tram Line,Q27997185|Q15145593|Q420962,,
T3,Île-de-France tramway Line 3,Q1032765,0,0,1,lines 3a and 3b,Paris tramway Line 3|Ile-de-France tramway Line 3|T3|T3a|T3b,Q15145593,,Île-de-France tramway lines 3a and 3b
T3,Marseille tramway line 3,Q3238910,0,0,1,"tram line in Marseille, France",T3,Q15145593,,
T3,T-3,Q1473127,0,0,1,trainer aircraft model by Fuji,Fuji T-3|T3,Q15056995,Q1473106,Fuji T-3
T3,T^3,Q122483537,0,0,1,Tetris-like 3D puzzle game,T^3 (3D puzzle game|T^3 (game)|3D Tetris|T3 Tetris|3-Dimensional Tetris,Q7889,,
T3,T3 spinal nerve,Q7796125,0,0,1,human spinal anatomy,thoracic spinal nerve 3|T3 nerve|third thoracic nerve|T3|third thoracic spinal nerve,,Q7796116|Q937076,Thoracic spinal nerve 3
Salmon Creek Railroad,Salmon Creek Railroad,Q55753213,1,0,1,"narrow-gauge railway in Fallon, Nevada, US",,Q420962,,Salmon Creek Railroad
Stradbally Woodland Railway,Stradbally Woodland Railway,Q24360130,2,0,1,heritage railway in Ireland,,Q420962,,Stradbally Woodland Railway
Waterford and Suir Valley Railway,Waterford and Suir Valley Railway,Q24250041,3,0,1,"Heritage railway, County Waterford, Ireland",Waterford & Suir Valley Railway,Q728937|Q420962,,Waterford Suir Valley Railway
Torfbahn Himmelmoor,Torfbahn Himmelmoor,Q22694326,4,0,1,,,Q728937|Q1402344|Q420962,,
