col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Lithos,,[0]
Sculpture,3.0,[0]
ARS,6.0,[0]
British Journal of Anaesthesia,,[0]
Nature,,[0]
Res Publica,,[0]
Reformation,6.0,[0]
Economic Outlook,,[0]
Contraception,,[0]
Circulation,,[0]
Journal of Applied Ecology,,[0]
Noise and Health,,[0]
Biological Conservation,,[0]
transversal,6.0,[0]
Evidence-based Complementary and Alternative Medicine,,[0]
Financial Management,,[0]
Bearings,6.0,[0]
Zoologischer Anzeiger,,[0]
Universum,6.0,[0]
Brachytherapy,,[0]
Stoa,6.0,[0]
