data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
TEM,Temple University,Q1420239,0,0,1,"public research university in Philadelphia, United States",TU|temple.edu,Q3918|Q23002039|Q2668072,,Temple University
TEM,Template:Authority control,Q3907614,0,0,1,Wikimedia template,,Q11266439,,Template:Authority control
TEM,Tem,Q37042615,0,0,1,family name,,Q101352,,
TEM,"Tempo (Rio de Janeiro, Brazil)",Q27722714,0,0,1,academic journal,Tempo (Rio J)|Tempo|Tem,Q5633421|Q737498|Q773668|Q108440863,,
TEM,Wikimedia templates category,Q23894233,0,0,1,category containing Wikimedia templates; use with 'instance of' (P31) for Wikimedia category,templates category|Wikimedia category of templates|Wikimedia category for templates|Wikimedia category with templates|template category|template cat,,Q15647814,
TEM,tempera,Q175166,0,0,1,painting medium consisting of colored pigment mixed with a water-soluble binder medium,,,Q7974360|Q3300034,Tempera
TEM,Temnothorax,Q4050817,0,0,1,genus of insects,acorn ant|bifurcated ant,Q16521,,Temnothorax
TEM,Temse,Q823623,0,0,1,"municipality in East Flanders, Belgium",,Q493522,,Temse
TEM,European route E80,Q877647,0,0,1,road in Europe,E80|Trans-European Motorway|TEM|E 80,Q34442,,European route E80
TEM,The Temptations,Q846373,0,0,1,American rhythm and blues group,Temptations,Q215380,,The Temptations
TEM,Tempe,Q4194219,0,0,2,"district in Wajo Regency, South Sulawesi Province, Indonesia",Tempe District,Q3700011,,
TEM,Tempe,Q51685,0,0,2,"city in Maricopa County, Arizona, United States","Tempe, Arizona|Tempe, AZ",Q1093829|Q1549591,,"Tempe, Arizona"
TEM,Tempe,Q26110398,0,0,2,"village in Bone Regency, South Sulawesi, Indonesia",,Q26211545,,
TEM,Tempe,Q12520706,0,0,2,"subdistrict in Wajo Regency, South Sulawesi, Indonesia",,Q965568,,
TEM,Arizona State University,Q670897,0,0,2,"public university in Tempe, Arizona, US",Arizona State|ASU Tempe|Territorial Normal School|Arizona Territorial Normal School|Arizona Normal School|Normal School of Arizona|Tempe Normal School|Tempe State Teachers College|Arizona State Teachers College|Arizona State College|ASU|asu.edu,Q3918|Q23002039|Q45400320,,Arizona State University
TEM,Tempelhof-Schöneberg,Q158106,0,0,2,"borough of Berlin, Germany",,Q821435,,Tempelhof-Schöneberg
TEM,Temperley,Q596012,0,0,2,city in Argentina,,Q515|Q1549591,,"Temperley, Argentina"
TEM,Tempeh,Q120096,0,0,2,"Indonesian soy product originated from Java island, used as protein source",tempe,Q736427|Q19861951|Q6950796,Q28836677|Q6950796|Q1343997|Q41712179,Tempeh
TEM,Tempest,Q20998078,0,0,2,family name,,Q101352,,Tempest (surname)
TEM,Tempest,Q1340846,0,0,2,Atari vector arcade game from 1981,,Q7889,,Tempest (video game)
TEM,Tempest,Q1753505,0,0,2,2012 album by Bob Dylan,,Q482994,,Tempest (Bob Dylan album)
TEM,Tempest,Q105394249,0,0,2,2016 video game,,Q7889,,
TEM,TEMPEST,Q61057613,0,0,2,2017 EP by D.A.N.,,Q169930,,
TEM,The Tempest,Q86440,0,0,2,play by William Shakespeare,Tempest,Q116476516,,The Tempest
