data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Birkhof,Birkhof,Q100790048,0,0,1,"street in Neu-Ulm, Bavaria, Germany",,Q79007,,
Birkhof,Birkhof,Q121993847,0,0,1,"isolated dwelling in Upper Palatinate, district of Burglengenfeld",,Q1138414|Q253019,,
Birkhof,Birkhoff,Q36303417,0,0,1,family name,,Q101352,,Birkhoff
Birkhof,Birkhof,Q21540489,0,0,1,hamlet in Middle Franconia,,Q253019|Q5084,,
Birkhof,Birkhof,Q61984972,0,0,1,,,Q4632675,,
Birkhof,Birkhof,Q865644,0,0,1,human settlement in Germany,Birkhof (Lohmar),Q253019,,
Birkhof,Birkhof,Q40197115,0,0,1,,,Q39881836|Q1138414,,
Birkhof,Birkhof,Q122029968,0,0,1,"isolated dwelling in Upper Palatinate, district of Bruck i.d.Opf.",,Q1138414|Q253019,,
Birkhof,Birkhof,Q100418076,0,0,1,"street in Külsheim, Baden-Württemberg, Germany",,Q79007,,
Birkhof,Birkhof,Q116255651,0,0,1,,,Q123705|Q5084,,
Birkhof,15896 Birkhoff,Q2620440,0,0,2,asteroid,Birkhoff,Q3863,,15896 Birkhoff
Birkhof,Birkhoff,Q2369871,0,0,2,Moon crater,,Q55818,,Birkhoff (crater)
Birkhof,Seymour Birkhoff,Q27508049,0,0,2,character in the TV series Nikita,Birkhoff|Lionel Peller,Q15632617|Q15773317,,
Birkhof,Birkhoff's theorem,Q865665,0,0,2,theorem that any spherically symmetric solution of the vacuum field equations must be static and asymptotically flat,Birkhoff–Jebsen's theorem|Birkhoff–Jebsen theorem|Jebsen–Birkhoff theorem,Q65943,,Birkhoff's theorem (relativity)
Birkhof,Birkhoff's theorem,Q767533,0,0,2,,,,,Birkhoff's theorem (electromagnetism)
Birkhof,Birkhoff's theorem,Q85747361,0,0,2,theorem in equational logic,,Q24034552,,Birkhoff's theorem (equational logic)
Birkhof,doubly stochastic matrix,Q1243340,0,0,2,a square matrix,bistochastic matrix|Birkhoff–von Neumann theorem,,Q176583|Q120690620|Q120690604,Doubly stochastic matrix
Birkhof,Birkhoff polytope,Q4916482,0,0,2,polytope,,Q24034552,Q97516289,Birkhoff polytope
Birkhof,Birkhoff's axioms,Q3625630,0,0,2,postulates of Euclidean geometry,,Q792542|Q24034552,,Birkhoff's axioms
Glaserhaus,Glaserhaus,Q40197000,1,0,1,human settlement in Germany,,Q39881836|Q1138414,,
Glaserhaus,Glaserhaus,Q100467563,1,0,1,"street in Weißenburg in Bayern, Bayern, Germany",,Q79007,,
Glaserhaus,Glaserhäusle,Q135650296,1,0,1,,,Q11755880,,
Glaserhaus,Glaserhäuser,Q136598209,1,0,1,,,Q1138414|Q253019,,
Glaserhaus,Bienerstraße 3,Q37784397,1,0,1,"building in Rattenberg, Austria",,Q41176,,
Glaserhaus,Glashuetter Wiesen,Q55153195,1,0,2,"nature reserve in Rheinland-Pfalz, Germany",,Q759421|Q473972,,
